AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,500701,_. ______,Rim Tai,5007,_. ______,Mae Rim,50,_. _________,Chiang Mai,18.914,98.964
4,730107,_. __________,Sanam Chan,7301,_. ___________,mueang Nakhon Pathom,73,_. ______,Nakhon Pathom,13.804,100.041
4,650103,_. _________,Wat Chan,6501,_. _____________,Mueang Phitsanulok,65,_. ________,Phitsanulok,16.812,100.225
4,501901,_. ________,Yang Noeng,5019,_. _____,Saraphi,50,_. _________,Chiang Mai,18.707,99.036
4,130710,_. _________,Bang Krabue,1307,_. ______,Sam Khok,13,_. ________,Pathum Thani,14.103,100.538
4,140609,_. _________,Bang Pradaeng,1406,_. ________,Bang Pa-in,14,_. _______________,Phra Nakhon Si Ayutthaya,14.288,100.544
4,250101,_. _________,Na Mueang,2501,_. _______________,Mueang Prachin Buri,25,_. __________,Prachin Buri,14.057,101.374
4,502402,_. ______,Song Khwae,5024,_. _______,Doi Lo,50,_. _________,Chiang Mai,18.504,98.841
4,830101,_. ________,Talat Yai,8301,_. ___________,Mueang Phuket,83,_. ______,Phuket,7.888,98.394
4,920108,_. ________,Na Yong Tai,9201,_. _________,Mueang Trang,92,_. ____,Trang,7.571,99.669
4,140507,_. ________,Ban Khlang,1405,_. ______,Bang Ban,14,_. _______________,Phra Nakhon Si Ayutthaya,14.347,100.457
4,940914,_. _____,Saban,9409,_. _______,Yaring,94,_. _______,Pattani,6.820,101.439
4,240501,_. _________,Ban Pho,2405,_. _________,Ban Pho,24,_. __________,Chachoengsao,13.588,101.086
4,900804,_. ___________,Krasae Sin,9008,_. ___________,Krasae Sin,90,_. _____,Songkhla,7.609,100.307
4,190502,_. __________,Nong Khwai So,1905,_. _______,Nong Saeng,19,_. _______,Saraburi,14.487,100.795
4,630101,_. _____,,6301,_. ________,Mueang Tak,63,_. ___,Tak,16.862,99.129
4,110101,_. ____________________,,1101,_. ________________,Mueang Samut Prakan,11,_. ___________,Samut Prakarn,13.593,100.597
4,760616,_. _______,Tha Chang,7606,_. _______,Ban Lat,76,_. ________,Phetchaburi,13.057,99.898
4,240508,_. _______,Tha Phlap,2405,_. _________,Ban Pho,24,_. __________,Chachoengsao,13.616,101.075
